Title,Company,Location,JobDescription
Arabic Language Translator/ Interpreter,United Nations Agencies in Armenia,"Yerevan, Armenia","United Nations Agencies in Armenia intend to sign long
term agreements (LTAs) with individuals and companies and hereby solicit
proposals for the following services. 
1. Written translation, simultaneous interpretation and consecutive
interpretation from Arabic to Armenian languages and vice versa.
2. Editing corresponding texts.
The scope of services will include, but may not be limited to the
translation from/to the above mentioned languages in the following
specialist areas:
- Democratic Governance
- Poverty Reduction
- Economic Development
- Crisis/Conflict Prevention and Recovery
- Energy and Environment 
- Refugee/Internally Displaced Persons
- Food Security
- Nutrition
- Education
- Child Protection
- Gender Issues
- Health Issues
- HIV/AIDS."
Russian Language Translator/ Interpreter,United Nations Agencies in Armenia,"Yerevan, Armenia","United Nations Agencies in Armenia intend to sign long
term agreements (LTAs) with individuals and companies and hereby solicit
proposals for the following services. 
1. Written translation, simultaneous interpretation and consecutive
interpretation between Russian-English-Armenian languages. 
2. Editing corresponding texts.
The scope of services will include, but may not be limited to the
translation from/to the above mentioned languages in the following
specialist areas:
- Democratic Governance
- Poverty Reduction
- Economic Development
- Crisis/Conflict Prevention and Recovery
- Energy and Environment 
- Refugee/Internally Displaced Persons
- Food Security
- Nutrition
- Education
- Child Protection
- Gender Issues
- Health Issues
- HIV/AIDS."
English Language Translator/ Interpreter,United Nations Agencies in Armenia,"Yerevan, Armenia","United Nations Agencies in Armenia intend to sign long
term agreements (LTAs) with individuals and companies and hereby solicit
proposals for the following services. 
1. Written translation, simultaneous interpretation and consecutive
interpretation between English-Russian-Armenian languages. 
2. Editing corresponding texts.
The scope of services will include, but may not be limited to the
translation from/to the above mentioned languages in the following
specialist areas:
- Democratic Governance
- Poverty Reduction
- Economic Development
- Crisis/Conflict Prevention and Recovery
- Energy and Environment 
- Refugee/Internally Displaced Persons
- Food Security
- Nutrition
- Education
- Child Protection
- Gender Issues
- Health Issues
- HIV/AIDS."
Chief Cook,"Hotel ""Kecharis""","Tsakhkadzor, Armenia",N/A
Assistant to Director,Getamej Poultry Farm LLC,"Village Getamej, Kotayk region,  Armenia","The Assistant will be responsible for answering
telephone calls and making daily schedules of the Director."
Database Architect/ Developer,GlobalSoft CJSC,"Yerevan, Armenia","The ideal candidate leverages his/her knowledge in
database design and implementation to develop web-based application
components for interfacing with RDBMSs."
Accountant,Nork Marash Medical Center,"Yerevan, Armenia","We are seeking a motivated person for our Accounting
Department."
Assistant to Director,Getamej Poultry Farm LLC,"Village Getamej, Kotayk region,  Armenia","The Assistant will be responsible for answering
telephone calls and making daily schedules of the Director."
Senior Financial Officer/ Senior Accountant,Spetstorg CJSC,"Moscow, Russia","The duties of Senior Financial Officer will be related
to financial and management accounting and reporting, budget preparation
and control, financial analyses, etc. It is a lead finance position,
requiring from a candidate good knowledge, high responsibility and
creativity."
Grants Manager,"Counterpart International, Armenia","Yerevan, Armenia","Grants manager is responsible for developing and
operating a comprehensive system of identifying potential grantees, and
administering and managing grants."
Program Assistant,"Counterpart International, Armenia","Yerevan, Armenia","Program Assistant is responsible for arranging
appointments and drafting routine correspondence for specialists,
maintaining proper electronic and paper filing systems, performing other
office-related duties as required."
Advocacy Specialist,"Counterpart International, Armenia","Yerevan, Armenia","Advocacy Specialist is responsible for organizing the
provision, coordination and implementation of advocacy related services
to POs, donors and other clients. The range of services may include but
is not limited to designing, organizing and implementing advocacy
trainings, providing advocacy consultations to POs."
Organizational Development & Training Specialist,"Counterpart International, Armenia","Yerevan, Armenia","Organizational Development & Training Specialist is
responsible for designing, organizing and providing training/consulting
support to team members, as well as to client public organizations in
achieving their mission and objectives. The OD & Training Specialist
designs, coordinates and facilitates the institutional capacity
assessment and further development."
Monitoring and Evaluation Specialist,"Counterpart International, Armenia","Yerevan, Armenia","Monitoring and Evaluation Specialist is responsible
for developing and operating efficient systems of monitoring and
evaluation in grants programs implementation and service provision."
Furniture Designer,B&Z Furniture,"Yerevan, Armenia","B&Z Furniture seeks an experienced, creative furniture
designer to assist in new models design, day-to-day design, and interior
design."
Water/ Wastewater Works Monitoring Team Leader,Municipal Development Project Management Unit SI (MDPMU SI),"Yerevan, Armenia","Municipal Development Project Management Unit, which
will implement Yerevan Water and Wastewater Project in the framework of
the Credit Agreement No 4038-AM, declares a contest for Water/Wastewater
Works Monitoring Team Leader opening."
Secretary/ Translator,Max-Wood Ltd.,"Yerevan, Armenia",N/A
Software Developer,Integrien International Yerevan Branch,"Yerevan, Armenia","Software Developers should demonstrate creativity and
analytical thinking skills, learn quickly and deliver in an evolving and
challenging work environment, conceptualize and propose innovative ideas
and solutions, perform creative and out-of-box researches and
problem-solvings."
Auditor of Financial Audit Unit,Central Bank of Armenia,"Yerevan, Armenia","The Auditor will be responsible for getting reasonable
assurance, that information is reliable, timely, complete and fair,
evaluation of CBA financial activity."
